state_ut_name,ac_no,ac_name,sex,age,category,party,symbol,general,postal,total,pct_votes_polled,total_electors,candidate_no,candidate_name
TURN OUT,,,,,TOTAL:,,,218209,2291,220500,86.62,,,
WEST BENGAL,14,MADARIHAT,MALE,48.0,ST,BJP,Lotus,89913,805,90718,54.35,212651.0,1,MANOJ TIGGA
WEST BENGAL,14,MADARIHAT,MALE,45.0,ST,AITC,Flowers and Grass,60591,442,61033,36.56,212651.0,2,RAJESH LAKRA
WEST BENGAL,14,MADARIHAT,MALE,48.0,ST,RSP,Spade & Stoker,6983,89,7072,4.24,212651.0,3,SUBHASH LOHAR
WEST BENGAL,14,MADARIHAT,,,,NOTA,NOTA,2607,15,2622,1.57,212651.0,4,NOTA
WEST BENGAL,14,MADARIHAT,MALE,41.0,ST,BSP,Elephant,1687,9,1696,1.02,212651.0,5,UTTAM BARUA
WEST BENGAL,14,MADARIHAT,MALE,37.0,ST,BTP,Cot,1536,4,1540,0.92,212651.0,6,VIVEK PRADEEP TETE
WEST BENGAL,14,MADARIHAT,MALE,37.0,ST,NPEP,Book,1261,11,1272,0.76,212651.0,7,PANCHU ORAON
WEST BENGAL,14,MADARIHAT,MALE,43.0,ST,SUCI,Battery torch,961,6,967,0.58,212651.0,8,SUDHIST BARAIK
TURN OUT,,,,,TOTAL:,,,165539,1381,166920,78.49,,,
WEST BENGAL,15,DHUPGURI,MALE,58.0,SC,BJP,Lotus,103533,1155,104688,45.65,263118.0,1,BISHNU PADA RAY
WEST BENGAL,15,DHUPGURI,FEMALE,47.0,SC,AITC,Flowers and Grass,99293,1040,100333,43.75,263118.0,2,MITALI ROY
WEST BENGAL,15,DHUPGURI,MALE,46.0,SC,CPI(M),"Hammer, Sickle and Star",12856,251,13107,5.72,263118.0,3,PRADIP KUMAR ROY
WEST BENGAL,15,DHUPGURI,MALE,53.0,SC,BSP,Elephant,2171,7,2178,0.95,263118.0,4,BEDODYUTI ROY
WEST BENGAL,15,DHUPGURI,MALE,28.0,SC,IND,Tractor Chalata Kisan,2167,2,2169,0.95,263118.0,5,HRISHIKESH ROY
WEST BENGAL,15,DHUPGURI,MALE,40.0,SC,KPPU,Boat with Man and Sail,2144,11,2155,0.94,263118.0,6,SUKUMAR ROY
WEST BENGAL,15,DHUPGURI,,,,NOTA,NOTA,1976,8,1984,0.87,263118.0,7,NOTA
WEST BENGAL,15,DHUPGURI,MALE,37.0,SC,SUCI,Battery torch,1604,9,1613,0.7,263118.0,8,DHIRANJAN ROY
WEST BENGAL,15,DHUPGURI,MALE,33.0,SC,IND,Football,1090,6,1096,0.48,263118.0,9,SUJAN BARMAN
TURN OUT,,,,,TOTAL:,,,226834,2489,229323,87.16,,,
WEST BENGAL,16,MAYNAGURI,MALE,37.0,SC,BJP,Lotus,113928,1378,115306,48.84,264265.0,1,KAUSHIK ROY
WEST BENGAL,16,MAYNAGURI,MALE,50.0,SC,AITC,Flowers and Grass,102341,1054,103395,43.79,264265.0,2,MANOJ ROY
WEST BENGAL,16,MAYNAGURI,MALE,66.0,SC,RSP,Spade & Stoker,5592,168,5760,2.44,264265.0,3,NARESH CHANDRA ROY
WEST BENGAL,16,MAYNAGURI,,,,NOTA,NOTA,3072,23,3095,1.31,264265.0,4,NOTA
WEST BENGAL,16,MAYNAGURI,MALE,46.0,SC,KPPU,Boat with Man and Sail,2843,25,2868,1.21,264265.0,5,BISWANATH ROY
WEST BENGAL,16,MAYNAGURI,MALE,68.0,SC,CPI(ML)(L),Flag with Three Stars,1546,9,1555,0.66,264265.0,6,UDAY SHANKAR ADHIKARI
WEST BENGAL,16,MAYNAGURI,MALE,54.0,SC,BSP,Elephant,1539,11,1550,0.66,264265.0,7,GANESH MANDAL
